Action space: 4
Episode 467 | Reward: 2.0 | Epsilon 0.823
Episode 468 | Reward: 2.0 | Epsilon 0.823
Episode 469 | Reward: 0.0 | Epsilon 0.822
Episode 470 | Reward: 1.0 | Epsilon 0.822
Episode 471 | Reward: 1.0 | Epsilon 0.822
Episode 472 | Reward: 0.0 | Epsilon 0.821
Episode 473 | Reward: 0.0 | Epsilon 0.821
Episode 474 | Reward: 1.0 | Epsilon 0.821
Episode 475 | Reward: 2.0 | Epsilon 0.820
Episode 476 | Reward: 0.0 | Epsilon 0.820
Target updated at step 90000
Episode 477 | Reward: 0.0 | Epsilon 0.820
Episode 478 | Reward: 2.0 | Epsilon 0.819
Episode 479 | Reward: 0.0 | Epsilon 0.819
Episode 480 | Reward: 1.0 | Epsilon 0.819
Episode 481 | Reward: 4.0 | Epsilon 0.818
Episode 482 | Reward: 4.0 | Epsilon 0.818
Episode 483 | Reward: 5.0 | Epsilon 0.817
Episode 484 | Reward: 0.0 | Epsilon 0.817
Episode 485 | Reward: 0.0 | Epsilon 0.816
Episode 486 | Reward: 1.0 | Epsilon 0.816
Episode 487 | Reward: 3.0 | Epsilon 0.815
Episode 488 | Reward: 1.0 | Epsilon 0.815
Episode 489 | Reward: 1.0 | Epsilon 0.815
Episode 490 | Reward: 0.0 | Epsilon 0.814
Episode 491 | Reward: 1.0 | Epsilon 0.814
Episode 492 | Reward: 1.0 | Epsilon 0.814
Episode 493 | Reward: 1.0 | Epsilon 0.813
Episode 494 | Reward: 2.0 | Epsilon 0.813
Episode 495 | Reward: 0.0 | Epsilon 0.813
Episode 496 | Reward: 1.0 | Epsilon 0.812
Episode 497 | Reward: 3.0 | Epsilon 0.812
Episode 498 | Reward: 0.0 | Epsilon 0.812
Episode 499 | Reward: 4.0 | Epsilon 0.811
Episode 500 | Reward: 0.0 | Epsilon 0.811
Episode 501 | Reward: 0.0 | Epsilon 0.810
Episode 502 | Reward: 2.0 | Epsilon 0.810
Target updated at step 95000
Episode 503 | Reward: 0.0 | Epsilon 0.810
Episode 504 | Reward: 3.0 | Epsilon 0.809
Episode 505 | Reward: 0.0 | Epsilon 0.809
Episode 506 | Reward: 1.0 | Epsilon 0.809
Episode 507 | Reward: 2.0 | Epsilon 0.808
Episode 508 | Reward: 1.0 | Epsilon 0.808
Episode 509 | Reward: 1.0 | Epsilon 0.807
Episode 510 | Reward: 0.0 | Epsilon 0.807
